Remember Rockefeller At Attica,newrbk1C.pdf,305,305
Rio,newrbk1C.pdf,306,307
River People,newrbk1C.pdf,309,311
Robbins Nest,newrbk1C.pdf,312,313
Ruby My Dear,newrbk1C.pdf,314,315
Rush Hour,newrbk1C.pdf,316,317
Safari,newrbk1C.pdf,318,321
Sandu,newrbk1C.pdf,322,322
Satin Doll,newrbk1C.pdf,323,323
Save Your Love For Me,newrbk1C.pdf,324,325
Search For Peace,newrbk1C.pdf,327,327
Self-Portrait In Three Colors,newrbk1C.pdf,328,329
Shaker Song,newrbk1C.pdf,330,331
Shawnuff,newrbk1C.pdf,332,333
Simple Samba,newrbk1C.pdf,334,335
Skylark,newrbk1C.pdf,336,336
Sleepin' Bee (A),newrbk1C.pdf,337,337
Small Day Tomorrow,newrbk1C.pdf,338,339
Solar,newrbk1C.pdf,340,340
Some Day My Prince Will Come,newrbk1C.pdf,341,341
Song For Lorraine,newrbk1C.pdf,342,343
Song Is You (The),newrbk1C.pdf,344,345
Sonja's Sanfona (Haslip),newrbk1C.pdf,346,349
Soul Sauce (Guarachi Guaro),newrbk1C.pdf,350,350
Speak Low,newrbk1C.pdf,450,451
Speak No Evil,newrbk1C.pdf,351,351
Spiral,newrbk1C.pdf,352,353
St. Thomas,newrbk1C.pdf,355,355
Sticky Wicket,newrbk1C.pdf,356,359
Stormy Weather,newrbk1C.pdf,452,453 
Street Life,newrbk1C.pdf,360,361
Sudden Samba,newrbk1C.pdf,363,363
Sunrunner (James),newrbk1C.pdf,364,365
Take The A Train,newrbk1C.pdf,366,367
Tenderly,newrbk1C.pdf,368,368
Theme For Ernie,newrbk1C.pdf,369,369
There Will Never Be Another You,newrbk1C.pdf,370,371
This Masquerade,newrbk1C.pdf,373,373
The Three Marias,newrbk1C.pdf,374,381
Three Views Of A Secret,newrbk1C.pdf,382,383
Time Remembers One Time Once,newrbk1C.pdf,384,384
Triste,newrbk1C.pdf,385,385
Tune Up,newrbk1C.pdf,387,387
Turn Your Love Around,newrbk1C.pdf,388,389
Twisted,newrbk1C.pdf,390,391
Unit 7,newrbk1C.pdf,392,393
Up Jumped Spring,newrbk1C.pdf,395,395
Up With The Lark,newrbk1C.pdf,396,397
Velas,newrbk1C.pdf,398,399
Very Early,newrbk1C.pdf,400,400
Voyage,newrbk1C.pdf,401,401
Waltz For Debby,newrbk1C.pdf,402,403
Waltz New,newrbk1C.pdf,404,404
Watch What Happens,newrbk1C.pdf,405,405
Waterwings (Grusin),newrbk1C.pdf,406,407
Wave,newrbk1C.pdf,408,409
Way You Look Tonight (The),newrbk1C.pdf,410,411
Weaver Of Dreams (A),newrbk1C.pdf,413,413
We'll Be Together Again,newrbk1C.pdf,414,414
Well You Needn't,newrbk1C.pdf,415,415
West Coast Blues,newrbk1C.pdf,416,416
Where Is Love?,newrbk1C.pdf,417,418
Who Can I Turn To,newrbk1C.pdf,419,419
Wildflower,newrbk1C.pdf,420,420
Willow Weep For Me,newrbk1C.pdf,421,421
Witchcraft,newrbk1C.pdf,422,422
Yes And No,newrbk1C.pdf,423,423
Yesterdays,newrbk1C.pdf,424,424
Young Rabbits (Henderson),newrbk1C.pdf,425,425
Your Mind Is On Vacation,newrbk1C.pdf,426,427
